,address,eth_balance,val,cumsum,index
40,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,38687260983646059253983.000000000,38633.627997069845,41477239.308729984,40
41,0xb203e1170a30e68dc5b20aac08aa42619842c79e,38391425752500000000000.000000000,38255.926602785294,41515495.23533277,41
42,0x3b9de915fce667b90f919075c4d10067b15192a9,44932364750080000000000.000000000,37606.435714740874,41553101.671047516,42
43,0x0000000000a39bb272e79075ade125fd351887ac,37603470207538853358476.000000000,37186.88818899152,41590288.559236504,43
44,0x21346283a31a5ad10fa64377e77a8900ac12d469,37199037940525696659045.000000000,37148.8322927744,41627437.39152928,44
45,0xd69b0089d9ca950640f5dc9931a41a5965f00303,36209747385713830624573.000000000,36132.55207434577,41663569.94360362,45
46,0x22650fcf7e175ffe008ea18a90486d7ba0f51e41,32216952855760000000000.000000000,32190.170862142375,41695760.114465766,46
47,0xd19d4b5d358258f05d7b411e21a1460d11b0876f,32285067107910296857870.000000000,32176.387573211316,41727936.50203898,47
48,0x6130611f7a65deb930bd0c0825af88078fcced43,37744000000000000000000.000000000,31590.086956521744,41759526.5889955,48
49,0xf54635836862aad6e255e9b4fe49275fa5047e5d,32346863744735122958442.000000000,31551.449062487536,41791078.03805799,49
50,0x379825f8da776b573a63404a5c499c8a379a131f,36976000000000000000000.000000000,30947.304347826088,41822025.34240582,50
51,0x64192819ac13ef72bf6b5ae239ac672b43a9af08,29295611316067429260281.000000000,29211.396258623772,41851236.73866444,51
52,0xcafe1a77e84698c83ca8931f54a755176ef75f2c,29078319135738633275966.000000000,29051.431280539764,41880288.16994498,52
53,0xdca6ab9508d28c0eb7b120b8252041edcb56753f,30300000000000000000000.000000000,28971.05263157895,41909259.22257656,53
54,0x64f1ecf4ac77629060648edc62c3d926d971793c,33302207813429056830000.000000000,27872.500017761275,41937131.72259432,54
55,0x4cc61daed7824ff8b5081f204e16bea330c2eeab,33065005000000000000000.000000000,27673.97157608696,41964805.69417041,55
56,0xabea9132b05a70803a4e85094fd0e1800777fbef,27140749682478217024128.000000000,27081.352068641456,41991887.04623905,56
57,0x95fc37a27a2f68e3a647cdc081f0a89bb47c3012,25844677335721091117673.000000000,25743.193000633186,42017630.23923968,57
58,0x75fbd58ba18c80955bbb4c9fd46b83dc6bb68980,26051000000000000000000.000000000,24915.05523255814,42042545.29447223,58
59,0xb213de7b1ea2e7fe5870b96d279d4d721df8fa9d,29000008132292368170411.000000000,24271.74593680992,42066817.04040904,59
60,0xf4e11b89519eccd988a56749f1c64ad9bfe0298f,23777727352022000000000.000000000,23757.96089722925,42090575.00130627,60
